id,slug,title,short,content,prev,next,trans
51,57-verified-by-contract,Verified by contract,<p>A male candidate with an ideal resume and track record applied to one of the prestigious companies for a leading position. Our agency has signed a contract with this firm on an ongoing basis to verify the accepted candidates-employees.</p>,"<p>A male candidate with an ideal resume and track record applied to one of the prestigious companies for a leading position. Our agency has signed a contract with this firm on an ongoing basis to verify the accepted candidates-employees.</p>
<p>In the course of clarifying the information, it was revealed: the provided resume is fake, education is fake, passport data is distorted.</p>
<p>Thanks to cooperation on an ongoing basis, only trusted persons who can be trusted to enter into contracts and conduct business get into this company.</p>",,59-pitfalls-in-the-biography,
50,59-pitfalls-in-the-biography,Pitfalls in the biography,"<p>A businesswoman applied to check two candidates for the position of housekeepers and housekeepers, as it happens in practice, of course, with excellent recommendations. However!</p>","<p>A businesswoman applied to check two candidates for the position of housekeepers and housekeepers, as it happens in practice, of course, with excellent recommendations. However!</p>
<p>During the inspection by our detectives, it turned out that a potential housekeeper is wanted by bailiffs as a malicious defaulter of alimony for a long time.</p>
<p>But! The housekeeper turned out to be even more interesting. Debts to banks for huge sums were found on her, plus she was noticed at her former places of work for kleptomania, from where she was dismissed for these reasons.</p>
<p>We strongly recommend checking the recruited staff through our agency, where our professional detectives will carry out a number of works and find information that is so much hidden by the candidates.</p>",57-verified-by-contract,83-the-babysitter-is-crazy,
49,83-the-babysitter-is-crazy,The babysitter is crazy,"<p>A young mother turned to check on the child's future nanny, who had excellent recommendations from previous jobs.</p>","<p>A young mother turned to check on the child's future nanny, who had excellent recommendations from previous jobs.</p>
<p>In the course of our work, it turned out that the appearance was deceptive, the reviews were fake, there was no experience, in addition, she was registered with a psychiatrist.</p>
<p>Without fail, we recommend that you always be on your guard and check the people you plan to trust with the most sacred thing - your children!</p>",59-pitfalls-in-the-biography,82-without-hope-of-finding-an-expensive-car,
48,82-without-hope-of-finding-an-expensive-car,Without hope of finding an expensive car,"<p>2 years ago, a Porsche Cayenne car was stolen in Novosibirsk. For two years, the search did not yield
results.</p>","<p>2 years ago, a Porsche Cayenne car was stolen in Novosibirsk. For two years, the search did not yield
results.</p>
<p>Contacting our detective agency, within two months our detectives conducted search and analytical activities, during which the car was found in another region of the country and returned to the owner, who had lost all hope.</p>",83-the-babysitter-is-crazy,81-the-twins-reunion,
47,81-the-twins-reunion,The Twins' Reunion,"<p>A citizen of a foreign country applied to our agency, who, in turn, was adopted abroad and found out that at birth, it turns out, she had a brother.</p>","<p>A citizen of a foreign country applied to our agency, who, in turn, was adopted abroad and found out that at birth, it turns out, she had a brother.</p>
<p>She applied in order to find her blood brother, who was adopted by another family in Russia.</p>
<p>Detective activities were carried out, during which new information about his current family was established. A meeting of the sister and brother, who finally reunited after 40 years, was organized.</p>",82-without-hope-of-finding-an-expensive-car,80-love-by-correspondence,
44,80-love-by-correspondence,Love by correspondence,"<p>Our detective agency ""Pravo"" was contacted by an American citizen with a request to help find out the circumstances of the detention at the Russian airport of his fiancee, a citizen of the Russian Federation, who was supposed to fly to visit him.</p>","<p>Our detective agency ""Pravo"" was contacted by an American citizen with a request to help find out the circumstances of the detention at the Russian airport of his fiancee, a citizen of the Russian Federation, who was supposed to fly to visit him.</p>
<p>During the investigation, it turned out that he met his fiancee on a dating site. And, ""by correspondence"", they struck up a liking. As a result of communication, he invited her to America for a date at his expense.</p>
<p>In order to issue the necessary documents, she sent scans-photos of her documents, and, as an addition, her personal photos. This turned out to be enough and he transferred her a large sum of money to purchase air tickets. To confirm the purchase, scans of tickets were sent back.</p>
<p>On the day of departure, the bride wrote that she was detained at the airport by law enforcement agencies with suspicious pills. To avoid punishment, she asked to send another large sum of money. After that, an American citizen turned to us.</p>
<p>In fact, this citizen turned out to be a fraud, used fake documents, downloaded photos from the Internet and corrected with the help of image processing programs. The collected materials were transferred to the customer</p>
<p>You need to be careful! Because dating sites are filled with this kind of scammers who use people's ""love"" and credulity to extract material benefits.</p>
<p>To reduce the risks of being deceived, you can contact our agency to verify the personal data of the prospective bride.</p>",81-the-twins-reunion,79-unusual-betrayal,
43,79-unusual-betrayal,Unusual betrayal,"<p>«Pravo» private detectives had to investigate an extraordinary family case, namely, a mother and her daughter-in-law turned to us, who were concerned that the son and husband sometimes stayed late after work until late in the evening...</p>","<p>Pravo» private detectives had to investigate an extraordinary family case, namely, a mother and her daughter-in-law turned to us, who were concerned that the son and husband sometimes stayed late after work until late in the evening, with no evidence indicating there was no evidence of treason (the smell of perfume, hair on clothes, correspondence on the phone, etc.).</p>
<p>During the investigation, it was found that the man secretly met once a week with a male lover. After providing all the evidence, the wife and mother were discouraged by the fact. The initiative of the mother and daughter-in-law turned into a divorce of a married couple.</p>
<p>It is not known how long these meetings would have lasted and how this story could have ended if they had not turned to our detective agency Pravo during the time.</p>",80-love-by-correspondence,78-betrayal-of-a-business-partner,
42,78-betrayal-of-a-business-partner,Betrayal of a business partner,"<p>A businessman of a well-known firm in Moscow, who was tormented by doubts about the business of a close friend and business partner in one person, turned to the Detective Agency «Pravo». For a long time, starting from the bench of the Institute...</p>","<p>A businessman of a well-known firm in Moscow, who was tormented by doubts about the business of a close friend and business partner in one person, turned to the Detective Agency «Pravo». For a long time, starting from the bench of the Institute, jointly organized a successful commercial business, which developed to a multimillion-dollar profit. Some time ago, the company's profit began to fall and some of the employees quit without explanation. The firm began to fade away before our eyes, and the business partner's material prosperity flourished: the purchase of cars and real estate. At the meeting of the board of directors, when discussing how to get out of the current situation, the partner was somehow strangely not interested in solving the problem. The final touch in doubt was that a major contract was disrupted without explanation by the partners of another firm.</p>
<p>During the investigation by the detectives of the «Pravo» agency, it was found that a friend secretly opened a similar company in parallel from our customer, having issued it to one of the parents. Some of the employees were secretly lured to his company, in addition, the customer base was stolen and used by this company.  But the most insidious was yet to come. Since the remaining part of the employees secretly continued to work not for the benefit of the existing company in which they worked, receiving a salary and a bonus, they treacherously sent clients who came to the firm of a «friend». 
  Even after providing all the facts, he did not believe it until he went to this company and saw his parents, his partner in the director's chair and former employees who did not expect to meet with their former employer. When talking to a former «friend», the customer realized that greed was to blame.</p>
<p>By contacting our Detective agency «Pravo» you will not only dispel your doubts about the business partner, but also get evidence to the contrary.</p>",79-unusual-betrayal,77-concealment-of-property-in-case-of-divorce,
41,77-concealment-of-property-in-case-of-divorce,Concealment of property in case of divorce,"<p>During the divorce, one of the spouses hid his real estate and shares, which were unknown to the other half, and she did not even suspect how much money was in question. The spouse was the head of one of the largest companies in Russia. He carefully hid his income, property and shares from his wife.</p>","<p>During the divorce, one of the spouses hid his real estate and shares, which were unknown to the other half, and she did not even suspect how much money was in question. The spouse was the head of one of the largest companies in Russia. He carefully hid his income, property and shares from his wife.</p>
<hr id=""system-readmore"" />
<p>In turn, the spouse only knew that they owned only the house in which they live, two cars they drive and his salary of 100,000 rubles.</p>
<p>At first, the husband began to behave in a closed and hidden manner, often left late, and later simply stated that they needed to break up.</p>
<p>The spouse repeatedly tried to talk, find out the reason and prevent a divorce. All efforts were in vain. But the spouse was adamant, moreover, all the property will be divided in half.</p>
<p>This citizen, in order to find out the true reason for the divorce, turned to our detective agency ""Pravo"".</p>
<p>Detectives conducted an investigation and found that the oligarch had a young mistress, whom he was going to marry and leave his ex-wife with nothing.</p>
<p>In addition, hidden real estate in Russia and abroad, shares, receiving dividends from other firms where he was the founder were established.</p>
<p>According to Russian legislation, it is provided that everything that is acquired together in marital life, namely, movable, immovable property, shares, cash and other is divided 50/50 in equal shares to each spouse.</p>
<p>Thanks to the efforts of our detective agency ""Pravo"", the ex-wife and her children did not stay at the broken trough.</p>",78-betrayal-of-a-business-partner,76-multimillion-dollar-contract-under-threat,
40,76-multimillion-dollar-contract-under-threat,Multimillion-dollar contract under threat,"<p>Before concluding a major contract with one of the firms, its owner contacted us at the «Pravo agency in time. It was about a multimillion-dollar transaction in foreign currency. There was no security staff in the specified company, so the customer used the services of our agency.</p>","<p>Before concluding a major contract with one of the firms, its owner contacted us at the Pravo agency in time. It was about a multimillion-dollar transaction in foreign currency. There was no security staff in the specified company, so the customer used the services of our agency.</p>
<p>For the conclusion of this major contract, the second party was provided with perfectly compiled documentation. But our detectives were alerted by the fact that all the documents are just perfect. There are always «rough edges"". Therefore, it was decided to begin a thorough review of the documentation on the collection and verification of information on the counterparty.</p>
<p>During the inspection by detectives, it was found that this counterparty is a participant in one of the chains of a large fraudulent scheme for cashing out money by a number of enterprises with front persons.</p>
<p>All the collected materials were provided to the businessman, which allowed him and his partners to avoid particularly large losses. Therefore, before signing seemingly very profitable contracts, contact us at the detective agency «Pravo"" so that we check your counterparty for decency.</p>",77-concealment-of-property-in-case-of-divorce,75-the-malicious-defaulter-of-alimony,
